"rank","address","partiscore_absolute","partiscore_percentile","number_of_daos","number_of_proposals","number_of_votes"
145.0,"0xa15ca74e65bf72730811abf95163e89ad9b9dff6",35.54527358777096,99.99686922423507,31.0,100.0,155.0
146.0,"0xcf603a4b0d42337dd9fde4998c092adc9c6c7fdb",35.17505843803646,99.99684748273671,33.0,0.0,305.0
147.0,"0x75fd2bea5c16f587565770250d638d967f982953",35.14908240578767,99.99682574123834,41.0,2.0,231.0
148.0,"0xa9fad5a2da799b5d9b12d1aabd15421ca17a19c1",34.978283826936405,99.99680399973997,21.0,0.0,326.0
149.0,"0xd662fa474c0a1346a26374bb4581d1f6d3fb2d94",34.68763789339859,99.9967822582416,22.0,31.0,263.0
150.0,"0xc5e1569772b2d425ac9469d39f17341c01e1cf4c",34.62271915674955,99.99676051674324,12.0,72.0,146.0
151.0,"0x908db31ce01dc42c8b712f9156e969bc65023119",34.62153295603442,99.99673877524486,6.0,93.0,81.0
152.0,"0x1f14c2f40400471fb4a3aef1390f6bbbf2ad8f99",34.6165275587958,99.99671703374649,32.0,9.0,227.0
153.0,"Gth5jQA6v9EFbpqSPgXcsvpGSrbTdWwmBADnqa36ptjs5m5",34.14510130053211,99.99669529224813,2.0,4.0,386.0
154.0,"3LPh9LN88kxSe3shxLZ2R4jiNmHh2U2F9h9TmVKjc18P",33.95022508878248,99.99667355074978,1.0,61.0,148.0
155.0,"0x865c2f85c9fea1c6ac7f53de07554d68cb92ed88",33.87080166493729,99.9966518092514,33.0,111.0,183.0
156.0,"0x910c60c049d833a7fd2f5bda310bbea1c5fa3598",33.83206145338713,99.99663006775303,30.0,1.0,251.0
157.0,"0x3fb38cee8d0ba7dcf59403a8c397626dc9c7a13b",33.59142553191211,99.99660832625466,6.0,0.0,311.0
158.0,"0xdc52350858b60853d93390ab38dee3ce7e147fa7",33.37996193312006,99.9965865847563,24.0,0.0,244.0
